epoch,accuracy,learning_rate,loss,sparse_top_k_categorical_accuracy,val_accuracy,val_loss,val_sparse_top_k_categorical_accuracy
0,0.002123142359778285,0.0010000000474974513,8.533524513244629,0.02123142220079899,0.004830917809158564,8.323416709899902,0.03864734247326851
1,0.006369426846504211,0.0010000000474974513,8.267462730407715,0.04989384114742279,0.014492753893136978,8.2073392868042,0.04830917716026306
2,0.01592356711626053,0.0010000000474974513,8.118207931518555,0.052016984671354294,0.009661835618317127,8.07132625579834,0.043478261679410934
3,0.010615711100399494,0.0010000000474974513,7.932549953460693,0.056263267993927,0.019323671236634254,7.867544651031494,0.05314009636640549
4,0.009554140269756317,0.0010000000474974513,7.679078578948975,0.06794055551290512,0.014492753893136978,7.64247465133667,0.06763284653425217
5,0.0138004245236516,0.0010000000474974513,7.464291572570801,0.06687898188829422,0.009661835618317127,7.462649822235107,0.05314009636640549
6,0.026539277285337448,0.0010000000474974513,7.259986877441406,0.09235668927431107,0.014492753893136978,7.308258533477783,0.04830917716026306
7,0.02229299396276474,0.0010000000474974513,7.060842037200928,0.09447982907295227,0.014492753893136978,7.16556978225708,0.04830917716026306
8,0.025477707386016846,0.0010000000474974513,6.893198013305664,0.12101911008358002,0.014492753893136978,7.030651569366455,0.05797101557254791
9,0.02866242080926895,0.0010000000474974513,6.708547115325928,0.14225053787231445,0.02415458858013153,6.9088287353515625,0.09661835432052612
10,0.030785562470555305,0.0010000000474974513,6.572743892669678,0.14225053787231445,0.02415458858013153,6.795828819274902,0.10144927352666855
